股票代號,股票名稱,融資買進,融資賣出,融資現金償還,融資前日餘額,融資今日餘額,融資限額,融券買進,融券賣出,融券現券償還,融券前日餘額,融券今日餘額,融券限額,資券互抵,註記
1733,五鼎,0,1,0,"2,268","2,267","24,987",0,0,0,6,6,"24,987",0,
1734,杏輝,1,0,0,308,309,"47,549",0,0,0,0,0,"47,549",0,
1735,日勝化,2,0,0,690,692,"24,847",0,0,0,0,0,"24,847",0,
1736,喬山,0,8,0,"1,784","1,776","75,848",0,0,0,1,1,"75,848",0,
1737,臺鹽,0,0,0,80,80,"50,000",0,0,0,0,0,"50,000",0,
1752,南光,2,1,0,311,312,"25,247",0,0,0,0,0,"25,247",0,
1760,寶齡富錦,0,2,2,"1,025","1,021","21,434",0,0,0,10,10,"21,434",0,
1762,中化生,10,5,0,820,825,"19,229",0,0,0,1,1,"19,229",0,
1773,勝一,36,13,4,"1,270","1,289","75,000",0,0,0,1,1,"75,000",0,
1776,展宇,0,0,0,639,639,"15,026",0,0,0,1,1,"15,026",0,
1783,和康生,9,7,0,429,431,"20,249",0,0,0,0,0,"20,249",0,
1786,科妍,4,2,0,"4,899","4,901","18,706",1,0,0,1,0,"18,706",0,
1789,神隆,53,97,0,"3,272","3,228","197,684",0,0,0,3,3,"197,684",0,
1795,美時,62,37,1,"8,535","8,559","66,684",12,0,0,35,23,"66,684",0,
1802,台玻,911,"1,123",5,"35,913","35,696","727,015",110,146,1,"1,656","1,691","727,015",9,
1805,寶徠,0,0,0,"1,410","1,410","33,742",0,0,0,0,0,"33,742",0,
1806,冠軍,0,2,0,"2,537","2,535","97,600",0,0,0,0,0,"97,600",0,
1808,潤隆,50,2,0,"5,040","5,088","223,257",0,0,0,3,3,"223,257",0,
1809,中釉,18,11,0,"5,423","5,430","41,760",1,1,4,39,35,"41,760",1,
1810,和成,127,79,3,"20,852","20,897","75,575",1,0,0,49,48,"75,575",0,
1817,凱撒衛,0,0,0,24,24,"18,150",0,0,0,0,0,"18,150",0,
1903,士紙,8,1,0,"2,284","2,291","65,009",0,0,0,0,0,"65,009",0,
1904,正隆,161,24,0,"4,773","4,910","277,068",0,1,0,34,35,"277,068",0,
1905,華紙,150,64,10,"12,069","12,145","275,708",1,0,0,21,20,"275,708",0,
1906,寶隆,0,1,0,"7,077","7,076","37,750",0,0,0,0,0,"37,750",0,
1907,永豐餘,34,3,0,"24,021","24,052","415,092",0,0,0,5,5,"415,092",0,
1909,榮成,174,22,1,"10,789","10,940","331,921",13,0,0,39,26,"331,921",0,
2002,中鋼,654,648,0,"39,848","39,854","3,933,715",11,0,0,99,88,"3,933,715",1,
2006,東和鋼鐵,97,42,0,"1,051","1,106","182,553",1,1,0,8,8,"182,553",0,
2007,燁興,0,0,0,5,5,0,0,0,0,0,0,0,0,OX
2008,高興昌,0,0,0,92,92,"47,713",0,0,0,0,0,"47,713",0,
2009,第一銅,110,60,3,"6,179","6,226","89,905",4,0,0,38,34,"89,905",0,
2010,春源,14,30,10,"1,769","1,743","161,913",0,0,0,1,1,"161,913",0,
2012,春雨,0,0,0,205,205,"75,540",0,0,0,0,0,"75,540",0,
2013,中鋼構,1,0,0,"1,397","1,398","50,000",0,0,0,0,0,"50,000",0,
2014,中鴻,0,4,2,896,890,0,0,0,0,0,0,0,0,OX
2015,豐興,0,0,0,30,30,"145,399",0,0,0,0,0,"145,399",0,
