Date,Ranking,StockCode,StockName,Side,Position,BrokerName,BrokerID,BranchID,Buy,Sell,Net,SharePercent
20260108,8,6770,力積電,Sell,10,群益金鼎-台中,9100,9184,240,812,572,0.18
20260108,8,6770,力積電,Sell,11,凱基,9200,9200,140,682,542,0.17
20260108,8,6770,力積電,Sell,12,國泰-敦南,8880,8888,8056,8594,538,0.17
20260108,8,6770,力積電,Sell,13,台新-營業部,9B00,0039004200310037,2282,2815,533,0.17
20260108,8,6770,力積電,Sell,14,土銀-建國,1030,0031003000330041,69,587,518,0.17
20260108,8,6770,力積電,Sell,15,台中銀-豐原,6110,0036003100310041,397,855,458,0.15
20260108,9,6005,群益證,Buy,1,美商高盛,1480,1480,6661,1798,4863,10.98
20260108,9,6005,群益證,Buy,2,新加坡商瑞銀,1650,1650,4063,515,3548,8.01
20260108,9,6005,群益證,Buy,3,港商野村,1560,1560,2954,0,2954,6.67
20260108,9,6005,群益證,Buy,4,華南永昌,9300,9300,2494,765,1729,3.9
20260108,9,6005,群益證,Buy,5,摩根大通,8440,8440,2174,482,1692,3.82
20260108,9,6005,群益證,Buy,6,富邦-新店,9600,9661,1701,212,1489,3.36
20260108,9,6005,群益證,Buy,7,統一,5850,5850,1548,217,1331,3.01
20260108,9,6005,群益證,Buy,8,康和,8450,8450,1183,3,1180,2.66
20260108,9,6005,群益證,Buy,9,美林,1440,1440,1243,269,974,2.2
20260108,9,6005,群益證,Buy,10,元大-鹿港,9800,0039003800390053,458,29,429,0.97
20260108,9,6005,群益證,Buy,11,元大證券,9800,9800,2115,1703,412,0.93
20260108,9,6005,群益證,Buy,12,台灣摩根士丹利,1470,1470,477,74,403,0.91
20260108,9,6005,群益證,Buy,13,花旗環球,1590,1590,403,14,389,0.88
20260108,9,6005,群益證,Buy,14,統一-士林,5850,003500380035004d,220,2,218,0.49
20260108,9,6005,群益證,Buy,15,群益金鼎-松山,9100,9103,200,0,200,0.45
20260108,9,6005,群益證,Sell,1,(牛牛牛)亞-鑫豐,6010,0036003000310064,22,982,960,2.17
20260108,9,6005,群益證,Sell,2,台新-潮州,9B00,0039004200320043,10,683,673,1.52
20260108,9,6005,群益證,Sell,3,國泰-敦南,8880,8888,182,821,639,1.44
20260108,9,6005,群益證,Sell,4,永豐金-竹北,9A00,0039004100390050,41,615,574,1.3
20260108,9,6005,群益證,Sell,5,元大-台北,9800,0039003800300068,6,553,547,1.24
20260108,9,6005,群益證,Sell,6,元大-館前,9800,003900380034004b,8,471,463,1.05
20260108,9,6005,群益證,Sell,7,新光,8560,8560,134,515,381,0.86
20260108,9,6005,群益證,Sell,8,永豐金-高雄,9A00,0039004100390065,10,388,378,0.85
20260108,9,6005,群益證,Sell,9,台新-大裕,9B00,003900420032006c,8,313,305,0.69
20260108,9,6005,群益證,Sell,10,國泰-台中,8880,8882,26,320,294,0.66
20260108,9,6005,群益證,Sell,11,富邦-內湖,9600,9627,33,317,284,0.64
20260108,9,6005,群益證,Sell,12,合庫證券,1020,1020,20,299,279,0.63
20260108,9,6005,群益證,Sell,13,台新-板橋,9B00,0039004200320062,6,274,268,0.61
20260108,9,6005,群益證,Sell,14,合庫-自強,1020,0031003000320043,3,267,264,0.6
20260108,9,6005,群益證,Sell,15,凱基-三峽,9200,0039003200310045,0,263,263,0.59
20260108,10,3715,定穎投控,Buy,1,美商高盛,1480,1480,8707,1154,7553,11.48
